Jayce,3,7,3,0,TOP,EUW1_7892694659
Elise,0,8,8,0,JUNGLE,EUW1_7892694659
Yone,2,10,4,0,MIDDLE,EUW1_7892694659
Kalista,1,7,6,0,BOTTOM,EUW1_7892694659
KSante,6,12,1,0,UTILITY,EUW1_7892694659
Tristana,16,2,1,1,TOP,EUW1_7892694659
Nunu,5,3,20,1,JUNGLE,EUW1_7892694659
Sylas,10,2,12,1,MIDDLE,EUW1_7892694659
Zeri,10,3,17,1,BOTTOM,EUW1_7892694659
Alistar,3,2,27,1,UTILITY,EUW1_7892694659
Vayne,3,5,3,0,TOP,EUW1_7892652161
Olaf,2,5,3,0,JUNGLE,EUW1_7892652161
TwistedFate,3,2,1,0,MIDDLE,EUW1_7892652161
Ezreal,0,5,4,0,BOTTOM,EUW1_7892652161
Leona,0,5,6,0,UTILITY,EUW1_7892652161
Sion,1,1,6,1,TOP,EUW1_7892652161
Khazix,11,0,3,1,JUNGLE,EUW1_7892652161
Ahri,1,3,6,1,MIDDLE,EUW1_7892652161
Draven,9,3,5,1,BOTTOM,EUW1_7892652161
Thresh,0,1,13,1,UTILITY,EUW1_7892652161
Renekton,3,6,8,1,TOP,EUW1_7892580020
Nunu,10,1,14,1,JUNGLE,EUW1_7892580020
Cassiopeia,6,2,8,1,MIDDLE,EUW1_7892580020
Jinx,7,8,11,1,BOTTOM,EUW1_7892580020
Leona,2,5,11,1,UTILITY,EUW1_7892580020
Jayce,8,5,5,0,TOP,EUW1_7892580020
TwistedFate,5,8,8,0,JUNGLE,EUW1_7892580020
Ryze,5,3,5,0,MIDDLE,EUW1_7892580020
Senna,4,6,9,0,BOTTOM,EUW1_7892580020
Alistar,0,6,13,0,UTILITY,EUW1_7892580020
Sett,4,1,1,0,TOP,EUW1_7892058799
Nasus,1,2,3,0,JUNGLE,EUW1_7892058799
Sylas,1,6,0,0,MIDDLE,EUW1_7892058799
Ekko,4,6,0,0,BOTTOM,EUW1_7892058799
Karma,0,6,2,0,UTILITY,EUW1_7892058799
Gangplank,2,5,2,1,TOP,EUW1_7892058799
Hecarim,3,1,5,1,JUNGLE,EUW1_7892058799
Tristana,11,0,4,1,MIDDLE,EUW1_7892058799
Syndra,0,3,4,1,BOTTOM,EUW1_7892058799
Seraphine,5,1,5,1,UTILITY,EUW1_7892058799
Naafiri,10,8,6,0,TOP,EUW1_7891836444
RekSai,6,3,8,0,JUNGLE,EUW1_7891836444
Viktor,3,5,6,0,MIDDLE,EUW1_7891836444
Draven,7,6,3,0,BOTTOM,EUW1_7891836444
Blitzcrank,0,7,12,0,UTILITY,EUW1_7891836444
Vayne,7,7,6,1,TOP,EUW1_7891836444
Nocturne,11,6,11,1,JUNGLE,EUW1_7891836444
Aurora,5,3,13,1,MIDDLE,EUW1_7891836444
Ziggs,6,4,11,1,BOTTOM,EUW1_7891836444
Zilean,0,6,21,1,UTILITY,EUW1_7891836444
Sion,1,4,0,0,TOP,EUW1_7891700959
Shaco,5,4,2,0,JUNGLE,EUW1_7891700959
Ekko,3,10,5,0,MIDDLE,EUW1_7891700959
Senna,6,5,2,0,BOTTOM,EUW1_7891700959
Leona,1,9,9,0,UTILITY,EUW1_7891700959
Gnar,2,0,0,1,TOP,EUW1_7891700959
LeeSin,4,2,8,1,JUNGLE,EUW1_7891700959
Tristana,12,4,3,1,MIDDLE,EUW1_7891700959
Karthus,11,8,5,1,BOTTOM,EUW1_7891700959
Morgana,3,3,14,1,UTILITY,EUW1_7891700959
Gragas,2,6,5,1,TOP,EUW1_7891467909
Khazix,19,0,9,1,JUNGLE,EUW1_7891467909
Viktor,5,5,8,1,MIDDLE,EUW1_7891467909
Ezreal,5,7,4,1,BOTTOM,EUW1_7891467909
Rakan,2,1,17,1,UTILITY,EUW1_7891467909
Heimerdinger,3,8,2,0,TOP,EUW1_7891467909
XinZhao,5,5,6,0,JUNGLE,EUW1_7891467909
Ryze,8,6,2,0,MIDDLE,EUW1_7891467909
Senna,3,8,8,0,BOTTOM,EUW1_7891467909
Soraka,0,6,10,0,UTILITY,EUW1_7891467909
Ambessa,5,4,2,0,TOP,EUW1_7891438944
Nunu,1,3,0,0,JUNGLE,EUW1_7891438944
Mel,0,5,0,0,MIDDLE,EUW1_7891438944
Kaisa,2,6,1,0,BOTTOM,EUW1_7891438944
Nautilus,0,6,4,0,UTILITY,EUW1_7891438944
Renekton,3,6,3,1,TOP,EUW1_7891438944
JarvanIV,2,1,8,1,JUNGLE,EUW1_7891438944
TwistedFate,5,0,7,1,MIDDLE,EUW1_7891438944
Caitlyn,11,0,2,1,BOTTOM,EUW1_7891438944
Karma,3,1,11,1,UTILITY,EUW1_7891438944
Warwick,5,2,7,1,TOP,EUW1_7891407914
Shyvana,7,1,7,1,JUNGLE,EUW1_7891407914
TwistedFate,5,1,12,1,MIDDLE,EUW1_7891407914
Kalista,16,4,3,1,BOTTOM,EUW1_7891407914
Thresh,1,4,17,1,UTILITY,EUW1_7891407914
Vayne,1,8,1,0,TOP,EUW1_7891407914
Diana,0,8,4,0,JUNGLE,EUW1_7891407914
Katarina,3,4,2,0,MIDDLE,EUW1_7891407914
Varus,8,5,3,0,BOTTOM,EUW1_7891407914
